CAMIS,RESTAURANT,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESC,CRITICALFLAG,INSPECTIONTYPE,Latitude,Longitude
50111099,SAV-LA-MAR,Queens,14710,ROCKAWAY BLVD,11436,7188453808,Other,8/3/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Operational) / Initial Inspection,40.67336287,-73.79038632
40388818,YAMA JAPANESE RESTAURANT,Manhattan,122,EAST   17 STREET,10003,2124750969,Japanese,8/5/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.73600018,-73.98772056
50035115,CROSSBAY DELI & GRILL,Queens,10510,CROSSBAY BLVD,11417,7188488887,Soups_Salads_Sandwiches_Beverages,8/5/21,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.67979772,-73.84447901
50111042,BLANK STREET,Brooklyn,253,BERGEN STREET,11217,9175103862,Coffee/Tea,7/19/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.68399724,-73.98347197
41577301,COPPELIA CUBAN LUNCHEONETTE,Manhattan,207,WEST   14 STREET,10011,2128585001,Latin American,8/17/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.73878402,-74.00022373
41658786,"PIECE-A-CAKE , COOKIE JAR",Staten Island,177,NEW DORP LANE,10306,7189802250,Bakery,8/19/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.57325182,-74.11497091
50035244,MAMO RESTAURANT,Manhattan,323,WEST BROADWAY,10013,6469644641,Italian,7/29/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.72199148,-74.00408026
50110563,WOK IN THE CLOUDS,Manhattan,127,EAST   28 STREET,10016,2127846498,Indian Subcontinent,8/9/21,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.74277636,-73.98276084
50109171,FRONTPAGE RESTAURANT11,Bronx,4635,WHITE PLAINS ROAD,10470,9177473564,Caribbean,8/4/21,No violations were recorded at the time of this inspection.,15F7,Sign prohibiting smoking or using electronic cigarettes not conspicuously  posted,Not Critical,Smoke-Free Air Act / Initial Inspection,40.90260905,-73.85108211
40748570,SPRINGFIELD DINER,Queens,128-13,MERRICK BOULEVARD,11434,7185253540,American,7/23/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.68117121,-73.76464041
41647183,XING XING CHINESE RESTAURANT,Queens,9712,ROCKAWAY BEACH BOULEVARD,11693,7184748038,Chinese,8/17/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.58486199,-73.81899175
50054965,PA PA THAI CUISINE,Manhattan,1069,1 AVENUE,10022,2127529277,Thai,8/2/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.75918513,-73.96228971
50111156,CORK WINE BAR,Manhattan,69,THOMPSON STREET,10012,6466698169,French,7/23/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Non-operational) / Initial Inspection,40.72435201,-74.00307383
50103368,BRENIZ RESTAURANT,Brooklyn,7816,NEW UTRECHT AVENUE,11214,9178102244,Tex-Mex,8/23/21,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140¬∫ F to 70¬∫ F or less within 2  hours, and from 70¬∫ F to 41¬∫ F or less within 4 additional hours.",Critical,Pre-permit (Operational) / Initial Inspection,40.61318584,-74.00069514
50110095,GRAMERCY CAFE,Queens,3191,STEINWAY ST,11103,9293637097,American,7/22/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Pre-permit (Operational) / Initial Inspection,40.7594479,-73.91859426
41075977,SOPHIE'S RESTAURANT,Manhattan,369,LEXINGTON AVENUE,10017,2129223576,Spanish,8/24/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.75057589,-73.97666286
41694966,SHINJUKU,Brooklyn,1664,SHEEPSHEAD BAY ROAD,11235,7189344273,Japanese,8/30/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.58640873,-73.95227801
50011891,TWO HANDS,Manhattan,164,MOTT STREET,10013,2019934484,American,8/11/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.71973803,-73.99619405
40383763,COUSIN JOHN'S CAFE AND BAKERY,Brooklyn,70,7 AVENUE,11217,7186227333,Bakery,7/22/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.67535512,-73.97486149
40510389,ZARO'S BREAD BASKET,Manhattan,1,PENNSYLVANIA STATION (AMTRACK),10121,2122920405,Bakery,8/18/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Compliance Inspection,40.75005923,-73.99210672
40697317,STARBUCKS,Brooklyn,166,7 AVENUE,11215,7183691213,Coffee/Tea,8/3/21,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Cycle Inspection / Initial Inspection,40.67192468,-73.97739345
40688834,SEGUINE BAGEL BAKERY,Staten Island,5840,AMBOY ROAD,10309,7189666097,Soups_Salads_Sandwiches_Beverages,7/26/21,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,Cycle Inspection / Initial Inspection,40.5260218,-74.20228669
50042621,RAIN II,Manhattan,1095,SAINT NICHOLAS AVENUE,10032,3475834044,Thai,8/24/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.83825454,-73.93988862
41194925,APHRODITES SWEETS,Queens,20-07,FRANCIS LEWIS BOULEVARD,11357,7182241774,Bakery,8/19/21,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,Cycle Inspection / Initial Inspection,40.78003788,-73.80241627
