restaurant,BORO,INSPECTION DATE,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG
101 CAFE,Brooklyn,7/19/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
101 CAFE,Manhattan,7/29/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
12TH ST. ALE HOUSE,Queens,7/23/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
14 OLD FULTON STREET,Manhattan,7/23/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
14 OLD FULTON STREET,Queens,7/22/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
3 BROS 99 CENTS PIZZA,Brooklyn,7/22/21,02B,Hot food item not held at or above 140º F.,Critical
3 BROS 99 CENTS PIZZA,Staten Island,7/26/21,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical
3 BROS 99 CENTS PIZZA,Queens,7/27/21,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical
3 BROS 99 CENTS PIZZA,Brooklyn,7/22/21,04M,Live roaches present in facility's food and/or non-food areas.,Critical
3 BROS 99 CENTS PIZZA,Brooklyn,7/20/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
3 BROS 99 CENTS PIZZA,Brooklyn,7/26/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
3 WAY RESTAURANT,Brooklyn,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
3 WAY RESTAURANT,Manhattan,7/20/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
3 WAY RESTAURANT,Bronx,7/27/21,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical
3 WAY RESTAURANT,Brooklyn,7/26/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
3 WAY RESTAURANT,Brooklyn,7/29/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
3 WAY RESTAURANT,Queens,7/22/21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical
369 BBQ,Brooklyn,7/22/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
369 BBQ,Brooklyn,7/22/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
369 BBQ,Queens,7/22/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
369 BBQ,Queens,7/29/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
369 BBQ,Brooklyn,6/9/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
